"locality","decimallat","decimallon","rec_gbif","species"
NULL,-3.775578,-70.301739,1,0
"Leticia, ,,Reserva Forestal Rio Calderon, Estacion Biologic",-4.004,-69.892,1,0
NULL,-4.009834,-70.134139,1,0
NULL,-4.14613,-69.938851,1,0
NULL,-3.791689,-70.353387,1,0
NULL,-3.80146,-70.326786,1,0
NULL,-3.827052,-70.248839,1,1
NULL,-3.826891,-70.249397,1,1
NULL,-3.826838,-70.24814,1,1
NULL,-3.826828,-70.248184,1,1
NULL,-3.826726,-70.248465,1,1
NULL,-3.826632,-70.248362,1,1
NULL,-3.826584,-70.249894,1,1
NULL,-3.826545,-70.250166,1,1
NULL,-3.826533,-70.249292,1,1
NULL,-3.826498,-70.249769,1,1
NULL,-3.826487,-70.249292,1,1
NULL,-3.826413,-70.2483,1,1
NULL,-3.826411,-70.248922,1,1
NULL,-3.826401,-70.248209,1,1
NULL,-3.826388,-70.249311,1,1
NULL,-3.826359,-70.249335,1,1
NULL,-3.826348,-70.249645,1,1
NULL,-3.826279,-70.24784,1,1
NULL,-3.826278,-70.249348,1,1
NULL,-3.826265,-70.249373,1,1
NULL,-3.826251,-70.24761,1,1
NULL,-3.826177,-70.249584,1,1
NULL,-3.826168,-70.249505,1,1
NULL,-3.82605,-70.248664,1,1
NULL,-3.825157,-70.247504,1,1
NULL,-3.825049,-70.255071,1,1
NULL,-3.82494,-70.254899,1,1
NULL,-3.824363,-70.245933,1,1
NULL,-3.824091,-70.389482,1,1
NULL,-3.823956,-70.274065,1,1
NULL,-3.823953,-70.251167,1,1
NULL,-3.822842,-70.254798,1,1
NULL,-3.82283,-70.261442,1,1
NULL,-3.822813,-70.260143,1,1
NULL,-3.822548,-70.257925,1,1
NULL,-3.822397,-70.261687,1,1
NULL,-3.822272,-70.257974,1,1
NULL,-3.822236,-70.26042,1,1
NULL,-3.822083,-70.259694,1,1
NULL,-3.822082,-70.263627,1,1
NULL,-3.82201,-70.256494,1,1
NULL,-3.821634,-70.261838,1,1
NULL,-3.82134,-70.281771,1,1
NULL,-3.821294,-70.264532,1,1
NULL,-3.821212,-70.260722,1,1
NULL,-3.820735,-70.261106,1,1
NULL,-3.820195,-70.261262,1,1
NULL,-3.819849,-70.271628,1,1
NULL,-3.819755,-70.251962,1,1
NULL,-3.819638,-70.260213,1,1
NULL,-3.819054,-70.261469,1,1
NULL,-3.818975,-70.102879,1,1
NULL,-3.818973,-70.261035,1,1
NULL,-3.818947,-70.259774,1,1
NULL,-3.818866,-70.260441,1,1
NULL,-3.818431,-70.260997,1,1
NULL,-3.818101,-70.264711,1,1
NULL,-3.816402,-70.254236,1,1
NULL,-3.815325,-70.377253,1,1
NULL,-3.814302,-70.260465,1,1
NULL,-3.812559,-70.058884,1,1
NULL,-3.812036,-70.293532,1,1
NULL,-3.81084,-70.253226,1,1
NULL,-3.810328,-70.25359,1,1
NULL,-3.810313,-70.257134,1,1
NULL,-3.810004,-70.257228,1,1
NULL,-3.808368,-70.306228,1,1
NULL,-3.807476,-70.306325,1,1
NULL,-3.807399,-70.30588,1,1
NULL,-3.807108,-70.307236,1,1
NULL,-3.807043,-70.244948,1,1
NULL,-3.806711,-70.299193,1,1
NULL,-3.806646,-70.254093,1,1
NULL,-3.806236,-70.312133,1,1
NULL,-3.806206,-70.306532,1,1
NULL,-3.806117,-70.307028,1,1
NULL,-3.805978,-70.312797,1,1
NULL,-3.805737,-70.421838,1,1
NULL,-3.805249,-70.313089,1,1
NULL,-3.804804,-70.30557,1,1
NULL,-3.80396,-70.254917,1,1
NULL,-3.80356,-70.413047,1,1
NULL,-3.803014,-70.4156,1,1
NULL,-3.802938,-70.30416,1,1
NULL,-3.802852,-70.3042,1,1
NULL,-3.802703,-70.409657,1,1
NULL,-3.80256,-70.413907,1,1
NULL,-3.802478,-70.409792,1,1
NULL,-3.802428,-70.423541,1,1
NULL,-3.802418,-70.411211,1,1
NULL,-3.802355,-70.412019,1,1
NULL,-3.80227,-70.30578,1,1
NULL,-3.80218,-70.417524,1,1
NULL,-3.801795,-70.326753,1,1
NULL,-3.80168,-70.407918,1,1
NULL,-3.801655,-70.326177,1,1
NULL,-3.801541,-70.32581,1,1
NULL,-3.801391,-70.330677,1,1
NULL,-3.800848,-70.413374,1,1
NULL,-3.800723,-70.415258,1,1
NULL,-3.800677,-70.307063,1,1
NULL,-3.800574,-70.416904,1,1
NULL,-3.800266,-70.405121,1,1
NULL,-3.800258,-70.330724,1,1
NULL,-3.799986,-70.272431,1,1
NULL,-3.799923,-70.333496,1,1
NULL,-3.799558,-70.331994,1,1
NULL,-3.79947,-70.345089,1,1
NULL,-3.798896,-70.303326,1,1
NULL,-3.798839,-70.303741,1,1
NULL,-3.798763,-70.30624,1,1
NULL,-3.798731,-70.341849,1,1
NULL,-3.797957,-70.303863,1,1
NULL,-3.797494,-70.338766,1,1
NULL,-3.797104,-70.342919,1,1
NULL,-3.796729,-70.330037,1,1
NULL,-3.796333,-70.303844,1,1
NULL,-3.796175,-70.399949,1,1
NULL,-3.795577,-70.352935,1,1
NULL,-3.795096,-70.305017,1,1
NULL,-3.794586,-70.352836,1,1
NULL,-3.793345,-70.306777,1,1
NULL,-3.793299,-70.350453,1,1
NULL,-3.793252,-70.304324,1,1
NULL,-3.792881,-70.399662,1,1
NULL,-3.792394,-70.352424,1,1
NULL,-3.79217,-70.273133,1,1
NULL,-3.791884,-70.354994,1,1
NULL,-3.791566,-70.282986,1,1
NULL,-3.791505,-70.353525,1,1
NULL,-3.791193,-70.308164,1,1
NULL,-3.79083,-70.398261,1,1
NULL,-3.790822,-70.354961,1,1
NULL,-3.790793,-70.34523,1,1
NULL,-3.790601,-70.308193,1,1
NULL,-3.790529,-70.300689,1,1
NULL,-3.790438,-70.351643,1,1
NULL,-3.790398,-70.345863,1,1
NULL,-3.790086,-70.307586,1,1
NULL,-3.78983,-70.356275,1,1
NULL,-3.78964,-70.397449,1,1
NULL,-3.789589,-70.344654,1,1
NULL,-3.78958,-70.356892,1,1
NULL,-3.789366,-70.353845,1,1
NULL,-3.789242,-70.306516,1,1
NULL,-3.788971,-70.391844,1,1
NULL,-3.788434,-70.308222,1,1
NULL,-3.78817,-70.309171,1,1
NULL,-3.788032,-70.355418,1,1
NULL,-3.787381,-70.313558,1,1
NULL,-3.78737,-70.395781,1,1
NULL,-3.787277,-70.349296,1,1
NULL,-3.787216,-70.309628,1,1
NULL,-3.786311,-70.361077,1,1
NULL,-3.7863,-70.308044,1,1
NULL,-3.786269,-70.303518,1,1
NULL,-3.786247,-70.360369,1,1
NULL,-3.785917,-70.305309,1,1
NULL,-3.785779,-70.305008,1,1
NULL,-3.78553,-70.394045,1,1
NULL,-3.785529,-70.304899,1,1
NULL,-3.785473,-70.309509,1,1
NULL,-3.785419,-70.361429,1,1
NULL,-3.78532,-70.394517,1,1
NULL,-3.784984,-70.362889,1,1
NULL,-3.784793,-70.36321,1,1
NULL,-3.78475,-70.363188,1,1
NULL,-3.784658,-70.356722,1,1
NULL,-3.784472,-70.363175,1,1
NULL,-3.784348,-70.363569,1,1
NULL,-3.784296,-70.380463,1,1
NULL,-3.784223,-70.384453,1,1
NULL,-3.784198,-70.304515,1,1
NULL,-3.784132,-70.363496,1,1
NULL,-3.784122,-70.201198,1,1
NULL,-3.784088,-70.30925,1,1
NULL,-3.783897,-70.366687,1,1
NULL,-3.78384,-70.383808,1,1
NULL,-3.783492,-70.366023,1,1
NULL,-3.783462,-70.370867,1,1
NULL,-3.783435,-70.365,1,1
NULL,-3.783026,-70.324544,1,1
NULL,-3.783019,-70.210205,1,1
NULL,-3.782999,-70.38611,1,1
NULL,-3.782979,-70.382101,1,1
NULL,-3.782928,-70.366281,1,1
NULL,-3.782803,-70.216215,1,1
NULL,-3.782798,-70.365273,1,1
NULL,-3.782785,-70.368452,1,1
NULL,-3.78278,-70.36694,1,1
NULL,-3.782756,-70.384345,1,1
NULL,-3.782747,-70.363479,1,1
NULL,-3.782702,-70.372803,1,1
NULL,-3.782676,-70.367787,1,1
NULL,-3.782665,-70.370265,1,1
NULL,-3.782641,-70.369322,1,1
NULL,-3.782615,-70.369328,1,1
NULL,-3.782454,-70.381243,1,1
NULL,-3.782429,-70.364294,1,1
NULL,-3.782368,-70.369828,1,1
NULL,-3.782352,-70.30381,1,1
NULL,-3.782263,-70.365653,1,1
NULL,-3.782182,-70.367298,1,1
NULL,-3.782171,-70.366062,1,1
NULL,-3.781974,-70.366489,1,1
NULL,-3.781876,-70.379813,1,1
NULL,-3.781734,-70.363582,1,1
NULL,-3.781309,-70.36322,1,1
NULL,-3.781288,-70.36542,1,1
NULL,-3.781214,-70.370041,1,1
NULL,-3.781135,-70.358618,1,1
NULL,-3.78082,-70.303745,1,1
NULL,-3.780587,-70.363089,1,1
NULL,-3.780572,-70.375986,1,1
NULL,-3.780374,-70.354539,1,1
NULL,-3.780266,-70.376306,1,1
NULL,-3.780248,-70.376634,1,1
NULL,-3.780021,-70.376479,1,1
NULL,-3.77996,-70.342234,1,1
NULL,-3.779944,-70.376622,1,1
NULL,-3.779885,-70.304152,1,1
NULL,-3.779808,-70.367547,1,1
NULL,-3.779771,-70.376105,1,1
NULL,-3.779717,-70.375956,1,1
NULL,-3.779691,-70.376291,1,1
NULL,-3.779577,-70.376698,1,1
NULL,-3.77956,-70.377105,1,1
NULL,-3.779521,-70.376115,1,1
NULL,-3.779496,-70.376055,1,1
NULL,-3.779451,-70.354041,1,1
NULL,-3.779404,-70.376226,1,1
NULL,-3.779197,-70.377308,1,1
NULL,-3.779132,-70.377409,1,1
NULL,-3.778845,-70.306891,1,1
NULL,-3.778797,-70.372957,1,1
NULL,-3.778763,-70.365449,1,1
NULL,-3.778684,-70.373047,1,1
NULL,-3.778168,-70.373969,1,1
NULL,-3.77798,-70.37743,1,1
NULL,-3.777742,-70.301369,1,1
NULL,-3.777708,-70.327291,1,1
NULL,-3.777568,-70.344774,1,1
NULL,-3.777531,-70.302489,1,1
NULL,-3.777041,-70.35033,1,1
NULL,-3.77701,-70.350482,1,1
NULL,-3.777001,-70.350481,1,1
NULL,-3.776992,-70.350475,1,1
NULL,-3.776916,-70.350448,1,1
NULL,-3.776816,-70.38331,1,1
NULL,-3.776417,-70.302236,1,1
NULL,-3.776114,-70.307434,1,1
NULL,-3.776107,-70.373753,1,1
NULL,-3.776105,-70.303538,1,1
NULL,-3.776088,-70.303151,1,1
NULL,-3.775785,-70.302901,1,1
NULL,-3.775687,-70.38157,1,1
NULL,-3.775556,-70.302748,1,1
NULL,-3.775513,-70.381438,1,1
NULL,-3.775504,-70.302611,1,1
NULL,-3.775474,-70.302725,1,1
NULL,-3.775397,-70.381382,1,1
NULL,-3.775377,-70.30767,1,1
NULL,-3.775287,-70.303425,1,1
NULL,-3.775255,-70.303516,1,1
NULL,-3.774864,-70.302459,1,1
NULL,-3.774413,-70.307479,1,1
NULL,-3.774337,-70.304984,1,1
NULL,-3.774335,-70.307851,1,1
NULL,-3.77418,-70.305757,1,1
NULL,-3.774113,-70.305647,1,1
NULL,-3.773989,-70.302749,1,1
NULL,-3.773863,-70.306719,1,1
NULL,-3.773776,-70.307221,1,1
NULL,-3.773749,-70.306843,1,1
NULL,-3.773745,-70.307537,1,1
NULL,-3.773507,-70.311748,1,1
NULL,-3.773473,-70.311413,1,1
NULL,-3.772358,-70.380142,1,1
NULL,-3.772084,-70.306759,1,1
NULL,-3.771794,-70.347814,1,1
NULL,-3.77115,-70.312514,1,1
NULL,-3.770905,-70.311249,1,1
NULL,-3.770884,-70.376545,1,1
NULL,-3.770441,-70.310263,1,1
NULL,-3.769191,-70.310851,1,1
NULL,-3.769081,-70.312233,1,1
NULL,-3.768902,-70.312369,1,1
NULL,-3.768842,-70.310422,1,1
NULL,-3.768354,-70.311546,1,1
NULL,-3.768022,-70.30992,1,1
NULL,-3.765606,-70.257622,1,1
NULL,-3.765253,-70.31043,1,1
NULL,-3.764873,-70.311112,1,1
NULL,-3.764734,-70.310839,1,1
NULL,-3.764455,-70.310972,1,1
NULL,-3.763398,-70.311031,1,1
NULL,-3.762973,-70.311372,1,1
NULL,-3.761988,-70.310948,1,1
NULL,-3.76188,-70.311437,1,1
NULL,-3.761737,-70.309818,1,1
NULL,-3.76028,-70.309058,1,1
NULL,-3.759566,-70.367406,1,1
NULL,-3.758059,-70.361561,1,1
NULL,-3.757733,-70.307736,1,1
NULL,-3.757336,-70.305638,1,1
NULL,-3.755158,-70.354689,1,1
NULL,-3.753023,-70.306897,1,1
NULL,-3.751914,-70.307919,1,1
NULL,-3.745945,-70.312498,1,1
NULL,-3.745511,-70.312779,1,1
NULL,-3.743323,-70.316835,1,1
NULL,-3.742356,-70.381323,1,1
NULL,-3.741691,-70.317361,1,1
NULL,-3.741115,-70.313215,1,1
NULL,-3.74054,-70.384832,1,1
NULL,-3.740207,-70.31249,1,1
NULL,-3.736966,-70.333862,1,1
NULL,-3.736257,-70.186175,1,1
NULL,-3.735527,-70.31509,1,1
NULL,-3.731709,-70.386302,1,1
NULL,-3.730542,-70.255876,1,1
NULL,-3.726766,-70.35373,1,1
NULL,-3.724786,-70.3436,1,1
NULL,-3.718342,-70.373233,1,1
NULL,-3.717938,-70.385614,1,1
NULL,-3.71691,-70.293985,1,1
NULL,-3.716253,-70.206669,1,1
NULL,-3.711547,-70.365956,1,1
NULL,-3.707855,-70.202088,1,1
NULL,-3.706315,-70.379138,1,1
NULL,-3.705159,-70.335316,1,1
NULL,-3.701016,-70.276814,1,1
NULL,-3.700645,-70.315448,1,1
NULL,-3.699978,-70.363821,1,1
NULL,-3.692474,-70.291581,1,1
NULL,-3.688215,-70.222239,1,1
NULL,-3.684358,-70.387531,1,1
NULL,-3.681564,-70.351704,1,1
NULL,-3.681461,-70.393307,1,1
NULL,-3.666194,-70.278681,1,1
NULL,-3.66429,-70.372733,1,1
NULL,-3.663942,-70.360952,1,1
NULL,-3.663018,-70.29562,1,1
NULL,-3.656394,-70.206691,1,1
NULL,-3.652654,-70.389763,1,1
NULL,-3.651412,-70.374076,1,1
NULL,-3.648406,-70.208918,1,1
NULL,-3.646706,-70.317822,1,1
NULL,-3.637485,-70.323563,1,1
NULL,-3.636681,-70.314786,1,1
NULL,-3.635873,-70.278692,1,1
NULL,-3.635506,-70.284947,1,1
NULL,-3.632306,-70.290968,1,1
NULL,-3.631764,-70.237842,1,1
NULL,-3.627957,-70.186761,1,1
NULL,-3.625885,-70.306628,1,1
NULL,-3.620965,-70.253749,1,1
NULL,-3.615824,-70.31317,1,1
NULL,-3.615719,-70.213374,1,1
NULL,-3.615427,-70.383192,1,1
NULL,-3.603308,-70.385954,1,1
NULL,-2.434264,-72.21026,1,1
NULL,-2.426069,-72.418824,1,1
NULL,-2.422195,-72.463059,1,1
NULL,-2.421198,-72.404708,1,1
NULL,-2.411927,-72.501574,1,1
NULL,-2.411888,-72.510218,1,1
NULL,-2.407652,-72.526599,1,1
NULL,-2.40443,-72.534441,1,1
NULL,-2.394437,-72.571554,1,1
NULL,-2.387008,-72.577049,1,1
NULL,-2.38356,-72.637193,1,1
NULL,-2.373349,-72.587057,1,1
NULL,-2.035558,-71.879097,1,1
NULL,-1.749461,-72.885132,1,1
NULL,-1.444432,-72.793737,1,1
NULL,-1.442697,-72.788627,1,1
NULL,-1.442356,-72.788669,1,1
NULL,-1.441893,-72.789794,1,1
NULL,-1.441855,-72.797207,1,1
NULL,-1.441469,-72.796756,1,1
NULL,-1.440975,-72.795983,1,1
NULL,-1.440773,-72.79336,1,1
NULL,-1.212,-69.884,1,1
NULL,-1.18593,-70.0563,1,1
NULL,-1.019722,-71.938333,1,1
NULL,-0.94211,-74.000652,1,1
NULL,-0.800489,-71.906265,1,1
"Isla Zancudo Amazonas.",-3.778349,-70.37463,1,1
"Kasabe tours",-4.190872,-69.94896,1,1
"Kasabe Tours, Leticia-Amazonas, CO (-4,191, -69,95)",-4.1908,-69.94978,1,1
"Isla de Santa Sofia, 20 mi NW Leticia",-3.94418,-70.15499,1,1
"Isla de Santa Sofia Ii, ca. 20 mi NW of Leticia",-4.033333,-70.133333,1,1
"Isla de Santa Sofia Ii, 2Omi NW of Leticia",-4.033333,-70.133333,1,1
"Isla de los Micos (Monkey Island)",-4.040731,-70.099464,1,1
"Inspección de Policía Araracuara",-0.6333,-72.25,1,1
"Huapapa-San Martin (CO side)",-2.620612,-70.220665,1,1
"Km_14_Via_leticia_tarapaca",-4.061493,-69.9874,1,1
"Hotel Anaconda, Leticia",-4.2161,-69.942375,1,1
"La Pedrera, Miriti-parana rio",-1.212,-69.884,1,1
"Fundación Natutama, Puerto Nariño, Amazonas",-3.783595,-70.36338,1,1
"Frente a isla Bargano",-1.38397,-69.44008,1,1
"Estadio Jose",-4.197089,-69.947945,1,1
"Lagos",-3.500521,-70.054128,1,1
"Laguna Tarapoto, Puerto Nariño, Amazonas",-3.7878,-70.3968,1,1
"Corregimiento La Pedrera, sector La Pista",-1.287889,-69.503222,1,1
"Corregimiento La Pedrera, sector La Pista",-1.321861,-69.622944,1,1
"Corregimiento La Pedrera, sector La Pista",-1.3235,-69.588444,1,1
"Leticia",-4.217811,-69.93862,1,1
"Leticia",-4.212632,-69.943,1,1
"Leticia",-4.21227,-69.9496,1,1
"Leticia",-4.208333,-69.940283,1,1
"Leticia",-4.083333,-69.916667,1,1
"Leticia (-4.1075, -69.9419)",-4.1075,-69.9419,1,1
"Leticia (-4.1866, -69.9555)",-4.1866,-69.9555,1,1
"Leticia (-4.207, -69.9512)",-4.207,-69.9512,1,1
"Leticia (-4.2071, -69.9461)",-4.2071,-69.9461,1,1
"Leticia Colombia",-4.217445,-69.947334,1,1
"COLOMBIA: Amazonas: near Pto. Nariño",-3.794096,-70.3538,1,1
"Leticia Port",-4.223015,-69.94467,1,1
"Leticia via MS Explorer",-4.209465,-69.96918,1,1
"Colombia - Brazil - Amazonas (-3.8047753 - -70.31566677)",-3.804775,-70.31567,1,1
"Colombia - Amazonas - Colombia - Amazonas (-3.81741135 - -70.23785546)",-3.817411,-70.237854,1,1
"Leticia, ,,Reserva Forestal Rio Calderon, Estacion Biologic",-4.003,-69.908,1,1
"Leticia, ,,Reserva Forestal Rio Calderon, Estacion Biologic",-3.986,-69.902,1,1
"Leticia, Amazonas",-4.1402,-69.9242,1,1
"Leticia, Amazonas",-4.1333,-70.0174,1,1
"Leticia, Amazonas",-4.125,-69.9494,1,1
"Leticia, Amazonas",-4.0959,-69.9369,1,1
"Leticia, Amazonas",-4.0543,-69.9937,1,1
"Leticia, Amazonas",-4.0279,-70.0778,1,1
"Leticia, Amazonas Department, Isla Mocagua",-3.8566,-70.2371,1,1
"Leticia, Leticia, Amazonas",-4.2065,-69.938,1,1
"Leticia, Leticia, Amazonas",-4.1955,-69.943,1,1
"Leticia, Leticia, Amazonas",-4.1883,-69.9496,1,1
"Colombia - Amazonas",-3.766453,-70.309238,1,1
"Colombia - Amazonas",-3.771549,-70.311856,1,1
"LOCNM: Leticia",-2.0,-72.0,1,1
"Colombia - Amazonas",-3.773808,-70.301106,1,1
"Loreto",-3.889483,-70.245399,1,1
"Colombia - Amazonas",-3.77391,-70.301503,1,1
"Colombia - Amazonas",-3.774333,-70.305891,1,1
"Colombia - Amazonas",-3.774333,-70.307608,1,1
"Macedonia, Amazonas",-3.846487,-70.2229,1,1
"Colombia - Amazonas",-3.774354,-70.302396,1,1
"Colombia - Amazonas",-3.775805,-70.303069,1,1
"Malecon Turistico, Leticia, Amazonas",-4.212307,-69.94584,1,1
"Colombia - Amazonas",-3.776045,-70.382023,1,1
"Colombia - Amazonas",-3.776549,-70.300913,1,1
"Colombia - Amazonas",-3.781013,-70.386314,1,1
"Colombia - Amazonas",-3.782405,-70.36652,1,1
"Colombia - Amazonas",-3.782726,-70.390778,1,1
"Colombia - Amazonas",-3.782811,-70.303659,1,1
"Marco Brazil",-4.224044,-69.942433,1,1
"Mocagua",-3.786348,-70.27216,1,1
"Colombia - Amazonas",-3.783434,-70.365314,1,1
"Mocagua, Leticia, Amazonas",-3.8357,-70.2099,1,1
"Mocagua, Leticia, Amazonas",-3.831,-70.2186,1,1
"Colombia - Amazonas",-3.786665,-70.36829,1,1
"Colombia - Amazonas",-3.787522,-70.309925,1,1
"Monkey Island, Amazon River, Leticia (near), SWast most city in Columbia, Amazonas, Colombia",-4.0432,-70.1006,1,1
"Colombia - Amazonas",-3.788293,-70.309324,1,1
"No 5-62 Calle 8, Leticia, Amazonas, CO (-4.215, -69.937)",-4.214511,-69.936935,1,1
"Colombia - Amazonas",-3.789577,-70.308723,1,1
"Colombia - Amazonas",-3.790947,-70.354815,1,1
"Colombia - Amazonas",-3.791633,-70.307693,1,1
"Orillas del río Caqueta",-1.38397,-69.44008,1,1
"Colombia - Amazonas",-3.79266,-70.39979,1,1
"Colombia - Amazonas",-3.795401,-70.400906,1,1
"Palmeras, Puerto Nariño, Amazonas",-3.8186,-70.2584,1,1
"Colombia - Amazonas",-3.796429,-70.304947,1,1
"Colombia - Amazonas",-3.797034,-70.423508,1,1
"Colombia - Amazonas",-3.797628,-70.423822,1,1
"Colombia - Amazonas",-3.798698,-70.303831,1,1
"Colombia - Amazonas",-3.799255,-70.404596,1,1
"Colombia - Amazonas",-3.801396,-70.306149,1,1
"Colombia - Amazonas",-3.802509,-70.420561,1,1
"Colombia - Amazonas",-3.802509,-70.422878,1,1
"Colombia - Amazonas",-3.802809,-70.304689,1,1
"Parque Santander - Leticia",-4.212264,-69.94284,1,1
"Colombia - Amazonas",-3.803879,-70.424423,1,1
"Colombia - Amazonas",-3.80465,-70.317478,1,1
"Peru",-3.805335,-70.330353,1,1
"Peru - Ramon Castilla",-3.804999,-70.316315,1,1
"Peru - Ramon Castilla",-3.802229,-70.324585,1,1
"Colombia - Amazonas",-3.804993,-70.423393,1,1
"Colombia - Amazonas",-3.805892,-70.315075,1,1
"PNN Amacayacu",-3.38333,-70.1,1,1
"Colombia - Amazonas",-3.807648,-70.426269,1,1
"PNN Amacaycau, Leticia, Amazonas",-3.871667,-70.15,1,1
"Colombia - Amazonas",-3.855301,-70.253075,1,1
"Colombia - Amazonas",-4.120245,-70.027652,1,1
"PSP2",-0.6478,-72.3459,1,1
"Colombia - Amazonas",-4.218923,-69.945059,1,1
"Colombia - Amazonas",-4.219624,-69.944685,1,1
"Colombia",-3.804775,-70.315667,1,1
"PSP6",-0.6314,-72.3715,1,1
"Colombia",-4.216573,-69.945618,1,1
"colegio Puerto Nariño, Puerto Nariño, Amazonas",-3.789331,-70.35631,1,1
"CO-Leticia",-4.207458,-69.95451,1,1
"Puerto Narino & surrounding river frontage",-3.781655,-70.369316,1,1
"Puerto Nariño",-3.786665,-70.35737,1,1
"CO-Amazonas-Amazon River (-4,1814,-69,9775)",-4.18137,-69.97753,1,1
"Puerto Nariño, Amazonas",-3.8012,-70.2697,1,1
"Puerto Nariño, Amazonas",-3.7844,-70.3883,1,1
"Puerto Nariño, Amazonas",-3.7766,-70.3613,1,1
"Puerto Nariño, Amazonas",-3.7762,-70.3764,1,1
"Puerto Nariño, Amazonas",-3.7723,-70.2658,1,1
"Puerto Nariño, Amazonas",-3.7639,-70.3398,1,1
"Puerto Remanso El Tigre, PNN Cahuinarí",-1.318333,-70.81109,1,1
"Puerto Santander, Amazonas",-0.6478,-72.3459,1,1
"Puerto Santander, Amazonas",-0.6243,-72.398,1,1
"Purite River, 70 Km north of Leticia, Amazonas",-3.5359,-69.8909,1,1
"Quebrada Guacari, ca. 40 mi NW Leticia",-4.05,-70.133333,1,1
"Cathagena [=Cartagena]",-2.444944,-72.289701,1,1
"Quebrada Tucuchira, 20 mi NW Leticia",-4.15,-69.95,1,1
"Quebrada Tucuchira, 20 mi NW of Leticia",-4.033333,-70.133333,1,1
"Quebrada Tucuchira, ca. 20 mi NW of Leticia",-3.94418,-70.15499,1,1
"Carrera 11, Tabatinga BR-AM (-4.2178,-69.9427)",-4.217843,-69.94265,1,1
"Reserva Forestal del río Calderón, Estación Biológica El Zafire",-4.003056,-69.9075,1,1
"Reserva Forestal del río Calderón, Estación Biológica El Zafire",-4.003,-69.9075,1,1
"Reserva Forestal del Río Calderón, Estación Biológica El Zafire",-3.9875,-69.902778,1,1
"Reserva Forestal del Río Calderón, Estación Biológica El Zafire cerca al salado",-3.9875,-69.902778,1,1
"Reserva Forestal del Río Calderón, Estación Biológica El Zafire, Campamento",-4.003056,-69.9075,1,1
"Reserva Forestal Rio Calderon, Estacion Biologica El Zafire, Bosque de Rebalse",-4.003,-69.908,1,1
"Reserva Forestal Rio Calderon, Estacion Biologica El Zafire, Bosque de tierra firme, Cerca al salado.",-3.986,-69.902,1,1
"Reserva Forestal Rio Calderon, Estacion Biologica El Zafire, Bosque Varillal",-4.004,-69.892,1,1
"Camilo Torres, Leticia, Amazonas",-4.1667,-69.9606,1,1
"Residencias El Oasis",-0.663577,-72.31921,1,1
"Borde del aereopuerto, cerca del Imani?? En zona abierta",-4.141111,-70.0,1,1
"Borde de vía Km 1.5",-4.19102,-69.94894,1,1
"Barrio La Sarita",-4.203379,-69.93352,1,1
"Barrio Frontera",-4.218709,-69.9337,1,1
"Río Igará-Paraná, 30 km arriba de la Chorrera",-1.319381,-72.872158,1,1
"Río Igará-Paraná, 30 km arriba de la desembocadura de la Chorrera",-1.319381,-72.872158,1,1
"Avenida Vasquez Cobo, Amazonas, CO (-4.199, -69.944)",-4.198934,-69.94397,1,1
"Río Loretoyacu",-3.7829,-70.3781,1,1
"amazonia lodge (peru)",-3.81575,-70.323547,1,1
"Ronda",-4.139722,-69.996389,1,1
"Amazonas, CO (-4.002, -70.156)",-4.001643,-70.15565,1,1
"Amazonas, CO (-3.781, -70.356)",-3.781393,-70.35568,1,1
"Amazonas, CO (-3.775, -70.336)",-3.774763,-70.336426,1,1
"Santa Elena",-4.157847,-69.974155,1,1
"Amazon River, approximately 20 mi upstream from Leticia",-4.005503,-70.123614,1,1
"Alfredo Vasquez Cobo International Airport - LET (near Leticia), Leticia, Amazonas",-4.1995,-69.9399,1,1
"Al lado del río Tacana, 2Km al norte de Leticia",-4.15,-69.95,1,1
"Aeropuerto Vasquez Cobo",-4.196413,-69.94312,1,1
"Sin descripcion del lugar de colecta-Amazonas",-1.252778,-72.912778,1,1
"Sin descripcion del lugar de colecta-Leticia",-4.212278,-69.949583,1,1
"Sin descripcion del lugar de colecta-Leticia",-4.206212,-69.932814,1,1
"Aeropuerto Vasquez Cobo",-4.198173,-69.94304,1,1
"South End, Leticia, Amazonas, Colombia",-4.1567,-69.9481,1,1
"Tabatinga",-4.220826,-69.93538,1,1
"Aeropuerto Internacional Alfredo Vásquez Cobo (near Leticia), Leticia, Amazonas",-4.1925,-69.9406,1,1
"Tarapacá, Amazonas Department",-2.6134,-69.8452,1,1
"7 km N Leticia",-3.716264,-69.944458,1,1
"7-10 Carrera 11, Leticia, Amazonas, CO (-4.217, -69.943)",-4.216562,-69.94297,1,1
"6-1 Calle 7, Leticia, Amazonas, CO (-4,216, -69,937)",-4.215952,-69.9371,1,1
"50 km arriba de la Chorrera, Río Igará-Paraná",-1.252903,-72.912764,1,1
"Unnamed Road, Amazonas, CO (-4,148, -69,932)",-4.147751,-69.932106,1,1
"Unnamed Road, Leticia, Amazonas, CO (-4.184, -69.95)",-4.183839,-69.95009,1,1
"2Km al norte de Leticia",-4.15,-69.95,1,1
"20 mi NW Leticia Isla Santa Sofia",-4.033333,-70.133333,1,1
"Vereda La Pedrera, Río Caquetá",-1.319444,-69.582222,1,1
"14 km N of Leticia",-3.639518,-69.916992,1,1
"Vía Tarapacá Km 18",-4.094668,-69.9824,1,1
